user_id,track_slug,subscription_date
118804,TSPSC,24-06-2021
118804,spoken-english,19-06-2021
118804,APPSC,24-06-2021
118804,Eng_With_Awal,19-06-2021
120725,kerala-psc,19-06-2021
121311,spoken-english,19-06-2021
121434,spoken-english,19-06-2021
121434,KPSC_Driver,20-06-2021
121538,spoken-english,19-06-2021
121538,TNPSC,19-06-2021
121538,Anb_eng,19-06-2021
121538,SE_Junior,19-06-2021
121791,Spoken_eng_hindi,19-06-2021
121949,Group_1,19-06-2021
121949,ssc,19-06-2021
122225,Spoken_eng_hindi,19-06-2021
122886,Eng_Inver_Coc,20-06-2021
123027,APPSC,20-06-2021
123854,Spoken_eng_hindi,20-06-2021
124096,Spoken_eng_hindi,20-06-2021
124499,spoken-english,20-06-2021
124508,BANK-INS,20-06-2021
126073,TNPSC,20-06-2021
126073,ssc,20-06-2021
126290,spoken-english,20-06-2021
126290,Digi_Mark,20-06-2021
126766,Anb_eng,20-06-2021
127049,GATE_Civil,20-06-2021
127675,Spoken_eng_hindi,20-06-2021
127945,eng_car_success,20-06-2021
128150,Staff_Nurse,20-06-2021
128150,Apti_ess,20-06-2021
128155,Eng_Inver_Coc,20-06-2021
128155,KTET,20-06-2021
128927,SE_Junior,20-06-2021
129193,Spoken_eng_hindi,20-06-2021
129363,spoken-english,20-06-2021
129707,spoken-english,02-07-2021
129707,BANK-INS,01-07-2021
129707,Anb_eng,20-06-2021
129707,SE_Junior,29-06-2021
129986,spoken-english,20-06-2021
130203,spoken-english,21-06-2021
131167,BANK-INS,21-06-2021
131167,rrb,21-06-2021
132110,spoken-english,21-06-2021
132548,TNPSC,21-06-2021
134886,kerala-psc,26-06-2021
134886,Civil_Tech,21-06-2021
135474,Spoken_eng_hindi,21-06-2021
135754,TSPSC,21-06-2021
135896,Spoken_eng_hindi,21-06-2021
136202,spoken-english,21-06-2021
136592,Spoken_eng_hindi,21-06-2021
136944,kerala-psc,22-06-2021
136944,K_HSA,17-07-2021
136976,rrb,22-06-2021
137006,TNPSC,22-06-2021
137006,rrb,22-06-2021
137417,rrb,22-06-2021
137700,Group_1,22-06-2021
137700,spoken-english,22-06-2021
137700,Apti_ess,22-06-2021
138201,ssc,22-06-2021
138440,spoken-english,22-06-2021
138440,Anb_eng,22-06-2021
138440,SE_Junior,03-07-2021
139408,BPSC,27-06-2021
139408,ssc,22-06-2021
139721,PCB_Tech,22-06-2021
139721,TSPSC,22-06-2021
139721,HCA_Kerala,16-07-2021
139721,eng_car_success,22-06-2021
139721,spoken-english,22-06-2021
139721,BANK-INS,22-06-2021
139721,PET,22-06-2021
139721,Trade_ML,23-07-2021
139721,Group_2_2A,12-07-2021
139721,TNPSC,22-06-2021
139721,kerala-psc,22-06-2021
139721,BPSC,22-06-2021
139721,OP_KWA,22-06-2021
139721,Public_Speaking,22-06-2021
139721,MPGOVT,22-06-2021
139721,VIDEO-TEST,16-07-2021
139721,KPSC_Driver,22-06-2021
139721,cet,22-06-2021
139721,EEE,22-06-2021
