user_uid,date_joined,date_of_first_purhcase
300032,15-07-2021,
300047,15-07-2021,15-07-2021
300298,15-07-2021,16-07-2021
300516,15-07-2021,
301579,16-07-2021,17-07-2021
302431,16-07-2021,
303253,16-07-2021,
304011,16-07-2021,16-07-2021
304891,16-07-2021,15-07-2021
305626,16-07-2021,24-07-2021
305673,16-07-2021,16-07-2021
306043,16-07-2021,
306132,16-07-2021,
306903,16-07-2021,
306968,16-07-2021,
307158,16-07-2021,16-07-2021
307351,16-07-2021,16-07-2021
308819,16-07-2021,
308882,16-07-2021,16-07-2021
308949,16-07-2021,16-07-2021
309625,17-07-2021,19-07-2021
309749,17-07-2021,25-07-2021
310779,17-07-2021,
311217,17-07-2021,17-07-2021
311243,17-07-2021,
311428,17-07-2021,22-07-2021
311620,17-07-2021,
311826,17-07-2021,
313189,17-07-2021,
313279,17-07-2021,
313577,17-07-2021,
313762,17-07-2021,
314241,17-07-2021,16-07-2021
314640,17-07-2021,19-07-2021
315935,17-07-2021,
315996,17-07-2021,
316054,17-07-2021,
316386,18-07-2021,17-07-2021
317081,18-07-2021,
317155,18-07-2021,18-07-2021
317175,18-07-2021,18-07-2021
317685,18-07-2021,
318786,18-07-2021,
319002,18-07-2021,17-07-2021
319272,18-07-2021,
319388,18-07-2021,02-08-2021
319601,18-07-2021,
319737,18-07-2021,
320540,18-07-2021,17-07-2021
320764,18-07-2021,21-07-2021
320819,18-07-2021,30-07-2021
320982,18-07-2021,
321583,18-07-2021,19-07-2021
321857,18-07-2021,
321858,18-07-2021,
322067,18-07-2021,
323211,18-07-2021,29-07-2021
323237,18-07-2021,31-07-2021
323650,19-07-2021,
323757,19-07-2021,
324221,19-07-2021,19-07-2021
324841,19-07-2021,19-07-2021
325684,19-07-2021,
325735,19-07-2021,21-07-2021
326446,19-07-2021,18-07-2021
327747,19-07-2021,
327892,19-07-2021,
328366,19-07-2021,19-07-2021
328970,19-07-2021,18-07-2021
328985,19-07-2021,20-07-2021
330097,19-07-2021,19-07-2021
330199,19-07-2021,21-07-2021
330274,19-07-2021,
330486,19-07-2021,19-07-2021
332143,20-07-2021,20-07-2021
332293,20-07-2021,19-07-2021
333016,20-07-2021,21-07-2021
333452,20-07-2021,
333562,20-07-2021,21-07-2021
334311,20-07-2021,20-07-2021
334465,20-07-2021,
334536,20-07-2021,
335013,20-07-2021,
335233,20-07-2021,24-07-2021
336119,20-07-2021,
336975,20-07-2021,20-07-2021
337199,21-07-2021,
337722,21-07-2021,21-07-2021
338224,21-07-2021,20-07-2021
338353,21-07-2021,28-07-2021
338577,21-07-2021,21-07-2021
339310,21-07-2021,
339432,21-07-2021,
339464,21-07-2021,
339773,21-07-2021,21-07-2021
340262,21-07-2021,
340487,21-07-2021,
340934,21-07-2021,
341255,21-07-2021,
341566,21-07-2021,
342133,21-07-2021,21-07-2021
342207,21-07-2021,21-07-2021
342761,21-07-2021,
343071,21-07-2021,
